id,order_no,product_name,unit,quantity,unit_price,total_price,remark
104,"20231115002","空心铅","个",50,1.8,90,""
105,"20231115002","拉丝粉","包",20,1,20,""
106,"20231115002","鱼浪酒米","瓶",10,2.3,23,""
107,"20231115002","伙食米","瓶",20,5.6,112,""
108,"20231110004","蓝鲫X5","包",20,8.3,166,""
109,"20231110004","复合拉丝粉","包",10,10.8,108,""
110,"20231110004","倒钓钩","包",20,7,140,""
111,"20231110004","酸臭方块","包",80,8.3,664,""
112,"20231110004","红湘霸","包",25,6.6,165,""
113,"20231110004","神野","包",10,5,50,""
114,"20231110004","升级版蓝鲫","盒",20,6.8,136,""
115,"20231110004","蚯蚓","盒",80,2,160,""
116,"20231110004","牛P红虫颗粒","包",30,7,210,""
117,"20231110004","小速攻腥版","包",10,4,40,""
118,"20231110004","大力马100米","个",3,10,30,""
119,"20231110004","全磁拉饵盘","个",2,20,40,""
120,"20231110004","拉饵盘","包",3,10,30,""
121,"20231110004","牛P红虫颗粒","包",10,2.3,23,""
122,"20231110004","邓刚浮钓链","包",1,365,365,""
123,"20231110004","特大太空豆","包",1,20,20,""
124,"20231110004","浮漂连接环","包",1,30,30,""
125,"20231116001","特奔轮","个",1,76,76,""
126,"20231116001","赛道","包",5,17,85,""
127,"20231116001","蚯蚓","盒",50,2,100,""
128,"20231116001","麝香酒","瓶",5,8.5,42.5,""
129,"20231117001","易包搞定腥","包",20,12,240,""
130,"20231117001","三体","包",10,13,130,""
131,"20231118002","军工椅","把",2,25,50,""
132,"20231118002","军工凳","把",5,14,70,""
133,"20231118002","蚯蚓","盒",80,2,160,""
134,"20231124002","海竿地插","个",10,2.5,25,""
135,"20231124002","特大海漂","包",1,70,70,""
136,"20231124002","大号海漂","包",1,50,50,""
137,"20231124002","502胶水","支",20,1.1,22,""
138,"20231124002","泡沫球","个",20,0.6,12,""
139,"20231127001","西北风维它
米","瓶",23,9.5,218.5,""
140,"20231127001","牛P红虫颗粒","件",1,210,210,""
141,"20231127001","红色风暴","包",10,11.5,115,""
142,"20231127001","红虫风暴","包",10,10.8,108,""
143,"20231127001","神野","包",10,5,50,""
144,"20231127001","白鲨酸臭方
块","件",1,332,332,""
145,"20231127001","神野风暴","包",10,5,50,""
146,"20231127001","牛P红虫颗粒","包",20,2.3,46,""
147,"20231127001","蚯蚓","盒",80,2,160,""
148,"20231128001","天网伙食米","瓶",35,6.8,238,""
149,"20231128001","天网伙食碎
米","瓶",10,5.6,56,""
