id,name,global_price,unit
295,"鲢鱼电漂子",3,"个"
296,"丹尼富电池",80,"盒"
297,"锐鹰子线钩伊豆",2.7,"包"
298,"伞脚",4.5,"个"
299,"3.9m线组",5,"付"
300,"来得快4号",6.3,"包"
301,"鲜蚯蚓拉",8,"包"
302,"快枪手翘嘴",3.6,"包"
303,"粗线虾网",7.5,"个"
304,"快速铅",35,"包"
305,"绿湘霸",6.6,"包"
306,"红绿湘霸",6.6,"包"
307,"黑坑线组6.3m",5,"付"
308,"海豆环",30,"包"
309,"锐鹰子线钩袖无刺",2.7,"包"
310,"鲢鱼漂",50,"包"
311,"虾丸",2.5,"包"
312,"大速攻2号",8,"包"
313,"老鬼竞技拉丝粉",6.2,"瓶"
314,"老坛甜薯果酸玉米",7.5,"包"
315,"锐鹰子线钩有刺",2.8,"包"
316,"地狱猫腥",6.8,"包"
317,"黑坑线组3.66.3",5,"付"
318,"打窝勺",2,"个"
319,"6000轮朔头",26,"个"
320,"黑坑线组3.6m",5,"付"
321,"地狱猫香",6.5,"包"
322,"40公分鱼护",42,"个"
323,"6.3m",5,"付"
324,"全能香腥",8,"包"
325,"天元邓刚鲢",12.5,"包"
326,"吴亚浮底抽心果味",18.5,"包"
327,"红湘霸红虫味",6.6,"包"
328,"锐鹰子线钩无刺",2.8,"包"
329,"钢弹3号",4.7,"包"
330,"白鲨二代三代",8,"包"
331,"天元浮钓鲢二代",10,"包"
332,"小鱼护",9,"个"
333,"精品鱼护33公分",24,"个"
334,"海竿漂",0.5,"包"
335,"地狱猫香腥",6.9,"包"
336,"酸臭方块二代",8,"包"
337,"颗粒鲫鲤草",1.2,"包"
338,"七丈青甜玉米",5.5,"包"
339,"黑坑线组5.4m",5,"付"
340,"纽扣电池",0.8,"个"
341,"铅皮",9,"包"
342,"浮底抽心2000g",37,"包"
343,"吴亚香甜散炮",14,"包"
344,"九一八腥香",7.8,"包"
345,"电子漂",3.5,"支"
346,"蛮将2.7m",28,"支"
347,"3m",31,"支"
348,"万江鱼酸臭",7,"包"
349,"鬼牙翻板钩",3,"付"
350,"黑金LB6000",40,"个"
351,"抄网杆",10,"根"
352,"3.6线组",2.5,"付"
353,"5.4m",5,"付"
354,"蓝鲫青春版",6.5,"包"
355,"白鲨酸臭二代",7.8,"包"
356,"全能腥香",8,"包"
357,"神影颗粒",16,"包"
358,"刘志强5311",10.2,"包"
359,"黑坑线组3.9m",5,"付"
360,"老坛维它米",8.8,"瓶"
361,"1十1草鲫",4,"瓶"
362,"手绑金海夕无刺",12,"板"
363,"纵横四方鲤炮6号",20,"包"
364,"1.5m鱼护",14,"个"
365,"加重围网",10,"米"
366,"邓刚浮钓鲢",13.5,"包"
367,"全能窝谷子大师二代",280,"件"
368,"纵纵横四方2号鲫",21,"包"
369,"刘志强窝米",8.8,"瓶"
370,"七彩小米",6,"瓶"
371,"铅头钩",18,"包"
372,"软虫",3,"包"
373,"大速攻",7.8,"包"
374,"全能5311",10.5,"包"
375,"巨物线组7.2m8.1m",12,"盘"
376,"野钓青春",6,"包"
377,"大号折叠碗",4,"个"
378,"蝴蝶钩",1,"个"
379,"电子鲢鳙漂",3.8,"个"
380,"22cm水晶轮",18,"个"
381,"海绵电子漂",3.8,"套"
382,"长条铅",1.8,"个"
383,"七星漂线组",2.6,"付"
384,"海豆连接环",30,"包"
385,"仿生串钩",2.5,"包"
386,"两用支架",1.5,"个"
387,"强力主线",5,"包"
388,"甜嫩玉米大",4.5,"瓶"
389,"甜玉米",4.5,"瓶"
390,"九一八经典版",7.8,"包"
391,"100米线",5,"盘"
392,"岸田炸弹钩",4.5,"包"
393,"红虫螺鲤",6.2,"包"
394,"库战翘嘴",6.5,"包"
395,"红黄湘霸",6.6,"包"
396,"翻板铅",0.7,"个"
397,"不锈钢三节打窝勺",2.5,"个"
398,"炮台支架",4.5,"个"
399,"海竿支架",2.5,"个"
400,"铁板",4,"个"
401,"狼牙手绑钩伊豆",11.5,"板"
402,"狼牙手绑钩海夕无刺",11.5,"板"
403,"狼牙手绑钩关东",11.5,"板"
404,"一指网",8.5,"条"
405,"二指",14,"条"
406,"老G嫩玉米",11.5,"包"
407,"水上漂",2,"个"
408,"速诱鲢鳙",12,"瓶"
409,"1十1鲫草",4,"瓶"
410,"长鱼袋",7.5,"个"
411,"粗线鱼袋",7.5,"个"
412,"虾笼",13,"个"
413,"壹明王头灯",65,"个"
414,"亮之友头灯",36,"个"
415,"黄鳝笼好",7.5,"个"
416,"黄鳝笼",5.5,"个"
417,"特效王",5.5,"包"
418,"老G拉大饵",14,"包"
419,"方块鲢鳙钩",3.3,"包"
420,"狼牙新关东",11.5,"板"
421,"2000轮朔头",20,"个"
422,"1指网",8.5,"条"
423,"白光金钩",2.4,"付"
424,"抄网袋",4.5,"个"
425,"蛮将尖2节",0,"支"
426,"金海夕",2.5,"包"
427,"河鱼王3号",7.3,"包"
428,"狼牙手绑新关东",12,"板"
429,"连接环大",25,"包"
430,"白鲨酸臭三代",312,"件"
431,"锐鹰调位双钩",2.5,"包"
432,"巨烽伊豆双钩4号",5.5,"板"
433,"巨烽袖有刺双钩5号",5.5,"板"
434,"黑坑线组8.1m4号",5,"付"
435,"补酒米差价",1.2,"瓶"
436,"老鬼鲜蚯拉",8,"包"
437,"颗粒鲫",1.2,"包"
438,"甲鱼灵",2.8,"瓶"
439,"米若",3.8,"个"
440,"电子黑朔料漂",3.5,"套"
441,"开口剂",7,"瓶"
442,"甜果酸",5,"瓶"
443,"红虫液",2,"瓶"
444,"千里香",5.5,"瓶"
445,"大号电子漂",3.2,"个"
446,"雷蛙",3.8,"个"
447,"黑坑线组45m",5,"付"
448,"黑坑线组7.2",5,"付"
449,"2指",14,"条"
450,"无节网袋",2.5,"个"
451,"特大晒网",16,"个"
452,"双笼",6,"盒"
453,"神野风爆",5,"包"
454,"4.8m",5,"付"
455,"7.2m8.1m",5,"付"
456,"黄湘霸",6.6,"包"
457,"白鲨酸臭方块慢",312,"件"
458,"魔将双钩",3.3,"包"
459,"螺鲤2号",12.8,"包"
460,"颗粒草",1.2,"包"
461,"黄鳝钳",8,"把"
462,"黑坑线组8.1m",5,"付"
463,"处理爆炸钩",3.5,"包"
464,"挂钩",3,"个"
465,"4.5米线组",5,"付"
466,"手绑伊势尼",12,"板"
467,"甲鱼钩",0.4,"付"
468,"仿生虾",6,"包"
469,"悍战鲤",105,"支"
470,"麻毫",22,"个"
471,"长虾网",5.5,"个"
472,"长虾网1.5m",10,"个"
473,"囤箱",15,"个"
474,"手把带",3.2,"个"
475,"6000金属轮无间隙",60,"个"
476,"虾皮钩",2.5,"付"
477,"铅头钩5g",20,"包"
478,"浮底抽心二代",28,"包"
479,"软心铅",0.55,"个"
480,"草鲤颗粒",1.2,"包"
481,"管付串钩",2.5,"付"
482,"中号折叠碗",2.8,"个"
483,"速散酒米",5.8,"包"
484,"刘志强爆护杯",2.6,"杯"
485,"硅胶太空豆",70,"包"
486,"经典美人鱼",20,"盘"
487,"手绑金海夕有刺",11.5,"板"
488,"处理漂",1.5,"支"
489,"名轮轻",55,"支"
490,"线抽",16,"包"
491,"白鲨方块",8,"包"
492,"鲢鱼铅坠",1.4,"个"
493,"大物豆",0.7,"包"
494,"矶钓电子漂",8.5,"套"
495,"充电器",7,"个"
496,"关东4号",2.5,"包"
497,"21节虾笼",16,"个"
498,"纵横四方鲫炮",16,"包"
499,"纵横四方鲫炮2号",21,"包"
500,"桐木漂",1.5,"支"
501,"快意江湖鲫窝",21,"包"
502,"22公分轮子",13,"个"
503,"子线板",0.4,"个"
504,"返底钓组",4.5,"包"
505,"金海夕无刺",2.5,"包"
506,"黄古窝",4,"包"
507,"老鬼鲜蚯蚓拉",8.3,"包"
508,"8子环",1.2,"包"
509,"甲鱼针",0.25,"个"
510,"1十1鲫",4,"瓶"
511,"中湘达头灯",17,"个"
512,"亮之友充电线",7,"个"
513,"经典美人鱼子",20,"盘"
514,"通价杆",35,"支"
515,"毫须",0.2,"个"
516,"33节地笼王",47,"个"
517,"黑泡1指",17,"条"
518,"长头1指",42,"条"
519,"地笼王",50,"个"
520,"2指网",14,"条"
521,"地狱猫腥香",6.5,"包"
522,"颗粒鲫鲤",1.2,"包"
523,"彩诱米",6.5,"瓶"
524,"加密地笼",145,"个"
525,"方晓东笼",13,"个"
526,"一字毫",1.8,"个"
527,"毫需",0.2,"个"
528,"佳格头灯",18,"个"
529,"竹耙网",19,"个"
530,"海杆导环",0.6,"个"
531,"33节地笼",47,"个"
532,"20m加密地笼",146,"个"
533,"8分三层",63,"条"
534,"9分三层",63,"条"
535,"凳子",9.5,"把"
536,"一指网8分",60,"条"
537,"大号打窝器",1,"个"
538,"伊豆",2.5,"包"
539,"袖钩",2.5,"个"
540,"战鲸路亚杆",80,"支"
541,"PE线100m",18,"盘"
542,"60公分网头",16,"个"
543,"40公分网头",7.5,"个"
544,"长头鸟网",17,"条"
545,"电网子",1.8,"个"
546,"锐鹰伊豆",2.7,"包"
547,"猎天下",11,"包"
548,"3指三层",65,"条"
549,"特大海杆漂",0.7,"个"
550,"塑芯铅",0.35,"个"
551,"680w壹明王头灯",65,"个"
552,"米糠饼",8.2,"包"
553,"白鲨二代",7.8,"包"
554,"来得快3号",6.3,"包"
555,"易包搞定",12,"包"
556,"绿黄红湘霸",6.6,"包"
557,"17节虾笼",13,"个"
558,"绿色线",1,"扎"
559,"4指",14,"条"
560,"5指",14,"条"
561,"1指",8.5,"条"
562,"双孔泵",16,"套"
563,"纵横四方鲤炮",21,"包"
564,"旭川电子漂",7,"套"
565,"草鱼颗粒",1.2,"包"
566,"1十1草鲫鲤",4,"瓶"
567,"巨烽袖",5.8,"板"
568,"处理抄网杆",12,"支"
569,"35公分网头",11,"个"
570,"雨衣",4.8,"件"
571,"春雨雨衣",28,"套"
572,"黄鳝笼拱门",4.8,"个"
573,"7节笼",5.5,"个"
574,"白鲨菜饼",7.8,"包"
575,"管子",22,"捆"
576,"沙坨",0.5,"个"
577,"5指三层",38,"条"
578,"三层网长",65,"条"
579,"4孔泵",65,"个"
580,"西部风老坛糖化玉米",8,"包"
581,"颗粒鲫草",1.2,"包"
582,"海竿环",0.7,"个"
583,"大物网头",18,"个"
584,"甜嫩玉米小",1.8,"瓶"
585,"甜嫩玉米大",5,"瓶"
586,"大鱼笼",23,"个"
587,"带脚虾笼",13,"个"
588,"铃铛",35,"包"
589,"鲫鱼颗粒",1.2,"包"
590,"十字方块钩",3.5,"包"
591,"老坛玉米",7.8,"包"
592,"鱼袋",4.2,"个"
593,"好45指网",42,"条"
594,"路亚杆",38,"支"
595,"黄红绿湘霸",6.6,"包"
596,"麻雀网",6.5,"条"
597,"大号链接环",26,"包"
598,"来得快34",6.3,"包"
599,"增氧泵45w",135,"个"
600,"05",3,"包"
601,"万能神捕药包",2.3,"包"
602,"乙烯绳",9,"斤"
603,"25公分精品鱼护",12,"个"
604,"甜嫩玉米大瓶",5,"瓶"
605,"海竿单插",1,"个"
606,"铁圈网头",5.5,"个"
607,"天网超度玉米",6.2,"包"
608,"线组5.4m",5,"付"
609,"40",60,"条"
610,"43",60,"条"
611,"倍特锋十字方块钩",3.5,"包"
612,"颗粒鲫草鲤",1.2,"包"
613,"巨烽伊势尼",5.8,"板"
614,"40公分2.5m鱼护",78,"个"
615,"黄绿湘霸",6.6,"包"
616,"老坛五谷杂粮酒香",8,"包"
617,"取钩器",0.3,"个"
618,"撒网",55,"条"
619,"飞盘网",105,"条"
620,"16节虾笼",13,"个"
621,"好4指",42,"条"
622,"好6指",40,"条"
623,"黄鳝药",3.5,"瓶"
624,"方格虾笼",21,"个"
625,"一字豪",1.8,"个"
626,"晒网",15,"个"
627,"黄善药",6,"瓶"
628,"四方笼",7.5,"个"
629,"巨烽伊豆",5.8,"板"
630,"手把带好",6,"个"
631,"鱼苗网",14,"米"
632,"5指网",42,"条"
633,"血防鞋好",30,"双"
634,"1指高",8.5,"条"
635,"鲢鳙铅",0.7,"个"
636,"金钢炸处理",4.5,"包"
637,"6指网",40,"条"
638,"好7指",42,"条"
639,"鲫鱼网",14,"条"
640,"浮水虾",5,"包"
641,"好3指",42,"条"
642,"无结网袋",2.5,"个"
643,"密木抄网",9,"个"
644,"铁把抄网",28,"个"
645,"好5指",40,"条"
646,"好手把带",5.5,"个"
647,"好4指5指",42,"条"
648,"打渔郎下水裤好",73,"条"
649,"黑坑线组3.9m4.5m",5,"付"
650,"不锈钢支架",15,"个"
651,"7.2m名伦",150,"支"
652,"2.5m抄网",24,"套"
653,"好血防鞋",36,"双"
654,"鱼桶",18,"个"
655,"七字毫",4,"个"
656,"散炮盆",12,"个"
657,"运费",5,"件"
658,"33公分2m鱼护",15,"个"
659,"今晚吃鱼香",6.6,"包"
660,"密鱼护",9,"个"
661,"打渔郎下水裤黄",73,"条"
662,"打渔郎下水裤好",73,"条"
663,"迷彩血防鞋",36,"双"
664,"两米双档",97,"把"
665,"一体桶",72,"个"
666,"35公分鱼护",60,"个"
667,"鲢鳙钩",3.5,"包"
668,"1十1鲫",4,"瓶"
669,"青鲤质剑",165,"支"
670,"新关东5号",2.5,"包"
671,"纳米漂千重雪",35,"盒"
672,"3.6线组1。21.52.0",3,"付"
673,"4.5m1.21.52.0",3,"付"
674,"5.4m1.21.52.0",3,"付"
675,"6.3m黑坑线组2.53.04.0",5,"付"
676,"大铃铛",50,"包"
677,"大笼",17,"个"
678,"鲫炮",16,"包"
679,"狼牙手绑伊豆",11.5,"板"
680,"软虫大",4,"包"
681,"全身衣",105,"件"
682,"海夕",2.5,"包"
683,"名伦轻",61,"支"
684,"25g",0.68,"个"
685,"30g",0.75,"个"
686,"慢",320,"件"
687,"海夕钩",2.6,"包"
688,"雷强一代",160,"个"
689,"铝合金三角抄网杆",20,"支"
690,"蓝魔轮朔头",26,"个"
691,"军绿金属轮",60,"个"
692,"路亚浅杯轮",60,"个"
693,"大蚯蚓",2,"盒"
694,"达魔线",10,"盘"
695,"大号",2.8,"个"
696,"黑三角铝合金抄网杆",20,"支"
697,"果酸迷诱",4,"瓶"
698,"豆豆漂",0.6,"包"
699,"湖库大速攻",7.8,"包"
700,"蓝魔金属轮",40,"个"
701,"三层网5指",100,"条"
702,"达摩线",10,"盘"
703,"手杆鲢鳙钩",3.5,"包"
704,"果酸",4,"瓶"
705,"颗粒鲫草",1.2,"包"
706,"达摩5号",10,"个"
707,"前堵",0,"个"
708,"6000金属蓝魔",42,"个"
709,"颗粒鲤",1.2,"包"
710,"一窝疯",8,"包"
711,"13号虾皮钩",2.4,"付"
712,"大号太空豆",14,"包"
713,"暴力果酸",6,"瓶"
714,"三层1指",65,"条"
715,"浮钓链",14.5,"包"
716,"倍特锋方块钩",3.5,"付"
717,"剑伊势尼",2.5,"包"
718,"杆尖线",0,"个"
719,"鲜蚯蚓拉蚯拉",8,"包"
720,"铅头钩7g",20,"包"
721,"无间隙GA3000",57,"个"
722,"蓝魔金属2000",34,"个"
723,"纵纵横四方鲫炮2号",20,"包"
724,"GA无间隙6000",65,"个"
725,"GA无间隙7000",68,"个"
726,"巨物线组6.37.2m",12,"盘"
727,"2.4m光威路亚杆",190,"支"
728,"PE线150米空手道",48,"盘"
729,"龙王恨虾粉",3,"包"
730,"三角6钩翻板钩",3,"付"
731,"酸臭慢饼",320,"件"
732,"海杆导环尖",0.7,"个"
733,"来得快2号",6.3,"包"
734,"牛B鲫水",2.5,"瓶"
735,"轻麸",6.5,"包"
736,"达摩4号",10,"盘"
737,"斩妖123节",0,"个"
738,"吴亚浮底抽心原味",19,"包"
739,"酸臭方块特慢",320,"件"
740,"酸臭方块慢",8,"包"
741,"鬼牙鲢鳙钩",3,"包"
742,"九狼鲢鳙钩",3,"包"
743,"鲫炮2号",21,"包"
744,"鸡肝浓腥方块",6.2,"包"
745,"快意江湖鲤窝",21,"包"
746,"打鱼郎腰裤",60,"条"
747,"伊势尼",2.5,"包"
748,"硅胶浮漂座",0.2,"个"
749,"青鲤质剑杆稍",0,"支"
750,"3米锚杆",88,"支"
751,"PE线150m",25,"盘"
752,"精品鱼护35公分",24,"个"
753,"老鬼鱼护35公分",48,"个"
754,"神奇玉米",4,"瓶"
755,"牛P红虫颗粒小",2.5,"包"
756,"颗粒",1.2,"包"
757,"7m麻毫",60,"个"
758,"中号",6.5,"个"
759,"小号",13,"个"
760,"搬网",45,"个"
761,"一次性雨衣",4.5,"件"
762,"防鸟网长头",17,"条"
763,"好鸟网",35,"条"
764,"2m网湘",38,"个"
765,"无刺",3.5,"包"
766,"纳米大头漂",3,"支"
767,"九一八香经典狂拉",7.8,"包"
768,"黑坑线组3.6-5.4m",5,"付"
769,"锐鹰子线钩袖有刺",3,"包"
770,"筏钓杆",14,"支"
771,"1十1鲤草",4,"瓶"
772,"方块鲢鳙钩二代",3.5,"包"
773,"粗线手工网袋",20,"个"
774,"袖套",10,"套"
775,"90公分帆布包",45,"个"
776,"乾坤袋",15,"个"
777,"草莓粉",1.5,"包"
778,"牛B水大瓶",7,"瓶"
779,"刘志强三体",11.5,"包"
780,"土肥富钩",2.8,"包"
781,"100m渔风子",15,"盘"
782,"赛道挂饵",14,"瓶"
783,"黄绿湘霸",165,"件"
784,"老坛甜薯玉米",270,"件"
785,"白鲨酸臭方块二代",7.8,"包"
786,"雾化粘粉",1.6,"包"
787,"8m失手绳",4.6,"个"
788,"钓箱36l",240,"台"
789,"50cm一体桶",68,"个"
790,"黄湘霸红虫",165,"件"
791,"水桶",48,"个"
